iter	Passed	Remaining
0	1	134
1	2	129
2	3	126
3	4	119
4	6	132
5	9	141
6	10	143
7	11	136
8	13	132
9	14	128
10	15	124
11	16	121
12	17	117
13	18	114
14	19	112
15	20	109
16	21	106
17	22	104
18	24	102
19	25	100
20	26	98
21	27	96
22	28	94
23	29	93
24	30	91
25	31	89
26	32	87
27	33	86
28	34	84
29	35	83
30	36	82
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	75	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
